Provincia;Isla;Municipio;Nombre Playa o ZBM;ID DGE;Clasificación;Grado de Protección;Afluencia maxima anual;Riesgo;Playa o ZBM;ID MAPAMA;Nombre MAPAMA;ID Pilotaje Litoral;Nombre Pilotaje Litoral;Bandera azul;Acceso PMR;Ducha adaptada;Aseo adaptado;Baño asistido;Sombra PMR;Aparcamientos;Aseo;Lavapies;Duchas;Alquiler de sombrillas;Alquiler de hamacas;Alquiler nautico;Area Infantil;Area Deportiva;Longitud (m);Anchura (m);Composición;Color;Condiciones de baño;Condiciones de entorno;Condiciones de acceso;Carga poblacional;Latitud (º);Longitud (º);PSS Registrado DGSE;PSS Nº Registro;PSS Fecha Registro;Fecha de última actualización
Santa Cruz de Tenerife;Tenerife;Arona;La Ballena;760180800;Libre;Bajo;Baja;Medio;Playa;650;La Ballena;40030;PLAYA LA BALLENA;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;30;30;Arena;Oscura;Aguas tranquilas;Urbana;A pie fácil;>100.000;"28°00'30.14834057""N";"16°39'05.68606469""W";Si;0061-760180800;16/06/2020;07/12/2023
Santa Cruz de Tenerife;Tenerife;Arona;El Callao;760180900;Libre;Bajo;Baja;Bajo;Playa;203.813;El Callao;40034;PLAYA EL CALLAO;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;425;30;Callaos / Grava;;Aguas tranquilas;Urbana;A pie fácil;>100.000;"28°02'34.37056500""N";"16°42'37.57438848""W";Si;0057-760180900;16/06/2020;07/12/2023
Santa Cruz de Tenerife;Tenerife;Arona;Los Cristianos;760181000;Libre;Moderado;Media;Bajo;Playa;645;Los Cristianos;;;No;Si;Si;Si;No;Si;No;Si;No;Si;Si;Si;Si;Si;Si;338;69;Arena;Dorada;Aguas tranquilas;Urbana;A pie fácil;>100.000;"28°03'01.25268622""N";"16°43'06.87774350""W";Si;0055-760181000;16/06/2020;07/12/2023
Santa Cruz de Tenerife;Tenerife;Arona;Las Vistas;760181100;Libre;Alto;Alta;Bajo;Playa;644;Las Vistas;40036;PLAYA DE LAS VISTAS;Si;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;Si;No;Si;868;66;Arena;Dorada;Aguas tranquilas;Urbana;A pie fácil;>100.000;"28°03'09.52102871""N";"16°43'28.66356321""W";Si;0054-760181100;16/06/2020;07/12/2023
Santa Cruz de Tenerife;Tenerife;Arona;El Camisón;760181200;Libre;Moderado;Media;Medio;Playa;643;El Camisón;40037;PLAYA EL CAMISÓN;Si;No;No;No;No;No;Si;Si;No;Si;Si;Si;Si;No;No;362;25;Arena;Dorada;Aguas tranquilas;Urbana;A pie fácil;>100.000;"28°03'10.95274823""N";"16°43'53.85302928""W";Si;0053-760181200;16/06/2020;07/12/2023
Santa Cruz de Tenerife;Tenerife;Arona;Playa Honda;760181300;Peligrosa;Moderado;Media;Medio;Playa;642;Troya;40038;PLAYA HONDA DE TROYA;No;Si;No;No;No;No;Si;No;No;No;Si;Si;No;No;Si;650;46;Callaos / Grava / Arena;Dorada;Aguas tranquilas;Urbana;A pie fácil;>100.000;"28°03'44.64615130""N";"16°44'01.42138115""W";Si;0052-760181300;16/06/2020;07/12/2023
Santa Cruz de Tenerife;Tenerife;Buenavista del Norte;Masca;761183100;Uso Prohibido;null;null;;Playa;658;Masca;40069;PLAYA DE MASCA;No;No;null;null;null;null;No;No;No;No;No;No;No;No;No;600;20;Grava / Arena;Oscura;Aguas tranquilas;Aislada;A pie difícil / Barco;<5.000;"28°17'20.16115927""N";"16°51'45.26003425""W";No;;;04/02/2026
Santa Cruz de Tenerife;Tenerife;Buenavista del Norte;Juan López;761183200;Uso Prohibido;null;null;;Playa;657;Juan López;40070;PLAYA JUAN LOPEZ;No;No;null;null;null;null;No;No;No;No;No;No;No;No;No;190;8;Grava / Arena;Oscura;Aguas tranquilas;Aislada;A pie difícil / Barco;<5.000;"28°17'58.08858753""N";"16°52'14.47875758""W";No;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Buenavista del Norte;Playa el Carrizal;761183300;Uso Prohibido;null;null;;ZBM;203.803;Playa el Carrizal;40071;PLAYA DEL CARRIZAL;No;No;null;null;null;null;No;No;No;No;No;No;No;No;No;150;10;Arena;Oscura;Aguas tranquilas;Aislada;Barco;<5.000;"28°18'46.91195326""N";"16°52'50.81678285""W";No;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Buenavista del Norte;La Ballenita;761183400;Libre;Moderado;Alta;;Playa;656;La Ballenita;40072;PLAYA LA BALLENITA;No;No;null;null;null;null;Si;Si;No;No;No;No;No;No;No;30;8;Grava / Arena;Oscura;Oleaje moderado;Aislada;A pie fácil / Coche;<5.000;"28°20'32.81199767""N";"16°55'12.17844606""W";No;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Buenavista del Norte;El Fraile;761183500;Peligrosa;Bajo;Alta;;Playa;655;El Fraile;40073;PLAYA EL FRAILE;No;No;null;null;null;null;Si;No;No;No;No;No;No;No;No;420;39;Bolos / Grava / Arena;Oscura;Oleaje fuerte;Aislada;A pie fácil;<5.000;"28°22'04.99174519""N";"16°52'49.08557135""W";No;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Buenavista del Norte;Las Mujeres;761183600;Peligrosa;Bajo;Alta;;ZBM;654;Las Mujeres;40074;PLAYA LAS MUJERES;No;No;null;null;null;null;No;No;No;No;No;No;No;No;No;100;25;Grava / Arena;Oscura;Oleaje fuerte;Aislada;A pie fácil / coche;<5.000;"28°22'12.96028209""N";"16°52'24.90406461""W";No;;;19/08/2024
Santa Cruz de Tenerife;Tenerife;Buenavista del Norte;Las Arenas;761183700;Peligrosa;Moderado;Alta;;Playa;653;Las Arenas;40075;PLAYA LAS ARENAS;No;Si;null;null;null;null;No;No;No;No;No;No;No;No;No;150;50;Bolos / Arena;Oscura;Oleaje fuerte;Aislada;A pie fácil / Coche;<5.000;"28°22'18.38408233""N";"16°52'14.70749273""W";No;;;19/08/2024
Santa Cruz de Tenerife;Tenerife;Buenavista del Norte;Los Barqueros;761183800;Uso Prohibido;null;null;;Playa;652;Los Barqueros;40076;PLAYA LOS BARQUEROS;No;No;null;null;null;null;No;No;No;No;No;No;No;No;No;80;19;Bolos / Roca / Arena;Oscura;Oleaje fuerte;Aislada;A pie fácil / Coche;<5.000;"28°22'33.01102703""N";"16°51'35.96575936""W";No;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Candelaria;Playa de Cho Vito;762186100;Libre;Bajo;Baja;Bajo;Playa;203.807;Cho Vito;40524;PLAYA DE CHO VITO  EL MOSQUERO;No;No;null;null;null;null;No;No;No;No;No;No;No;No;No;60;20;Callaos / Grava;;Oleaje moderado;Urbana;Coche;entre 20.000 y 100.000;"28°22'48.60399030""N";"16°21'34.44758414""W";Si;0085-762186100 ;28/09/2020;07/12/2023
Santa Cruz de Tenerife;Tenerife;Candelaria;Playa de Caletillas;762186200;Libre;Moderado;Media;Bajo;Playa;663;Las Caletillas;40523;PLAYA DE LAS CALETILLAS;No;No;null;null;null;null;Si;No;No;No;No;No;No;No;Si;60;17;Grava / Arena;Oscura;Oleaje moderado;Urbana;A pie fácil / Coche;entre 20.000 y 100.000;"28°22'46.59216542""N";"16°21'37.44757294""W";Si;0084-762186200;28/09/2020;07/12/2023
Santa Cruz de Tenerife;Tenerife;Candelaria;Playa de La Arena;762186300;Libre;Bajo;Baja;Bajo;Playa;;;40609;PLAYA DE LA  ARENA;No;No;null;null;null;null;No;No;No;No;No;No;No;No;No;17;9;Callaos;;;Urbana;;entre 20.000 y 100.000;"28°22'42.71658439""N";"16°21'39.89475467""W";Si;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Candelaria;Playas de Punta Larga;762186500;Libre;Alto;Alta;Medio;Playa;203.809;Playa de Punta Larga;40521;PLAYA DE PUNTA LARGA;No;Si;null;null;null;null;Si;No;No;No;Si;Si;No;No;Si;230;35;Bolos / Arena;Oscura;Oleaje moderado;Urbana;Coche;entre 20.000 y 100.000;"28°22'06.96084661""N";"16°21'43.21886492""W";Si;0082-762186500;28/09/2020;07/12/2023
Santa Cruz de Tenerife;Tenerife;Candelaria;La Hornilla;762186600;Libre;Moderado;Media;Bajo;Playa;661;La Hornilla;40607;PLAYA DE L A HORNILLA;No;No;Si;No;No;No;Si;Si;Si;Si;No;No;No;No;No;50;22;Bolos / Arena;Oscura;Oleaje fuerte;Urbana;A pie fácil / Coche;entre 20.000 y 100.000;"28°21'36.43744743""N";"16°22'01.23365971""W";Si;0081-762186600;28/09/2020;19/08/2024
Santa Cruz de Tenerife;Tenerife;Candelaria;Playa de Olegario;762186700;Libre;Moderado;Media;Bajo;Playa;203.810;Olegario;40605;PLAYA DE OLEGARIO;No;No;null;null;null;null;Si;No;No;Si;No;No;No;No;No;90;30;Bolos / Grava / Arena;Oscura;Oleaje moderado;Urbana;Coche;entre 20.000 y 100.000;"28°21'30.87261950""N";"16°22'03.68034657""W";Si;0080-762186700;28/09/2020;07/12/2023
Santa Cruz de Tenerife;Tenerife;Candelaria;El Pozo;762186800;Uso Prohibido;null;null;;Playa;203.811;El Pozo;40577;PLAYA DEL POZO;No;No;null;null;null;null;Si;No;No;No;No;No;No;No;No;50;17;Grava;;Aguas tranquilas;Urbana;Coche;entre 20.000 y 100.000;"28°21'27.74809418""N";"16°22'07.85856387""W";Si;;28/09/2020;07/12/2023
Santa Cruz de Tenerife;Tenerife;Candelaria;Playa del Alcalde;762186900;Libre;Bajo;Baja;Bajo;Playa;203.808;Playa del Alcalde;40604;PLAYA DEL ALCALDE;No;No;null;null;null;null;Si;No;No;No;No;No;No;Si;No;30;20;Grava / Arena;Oscura;Aguas tranquilas;Urbana;Coche;entre 20.000 y 100.000;"28°21'21.34403380""N";"16°22'10.27637426""W";Si;0079-762186900;28/09/2020;07/12/2023
Santa Cruz de Tenerife;Tenerife;Candelaria;Playa de Candelaria o de Los Guanches;762187000;Peligrosa;Moderado;Media;Bajo;Playa;660;Candelaria;40520;PLAYA DE CANDELARIA;No;No;null;null;null;null;Si;No;No;Si;No;No;No;No;No;590;24;Grava / Arena;Oscura;Oleaje fuerte;Urbana;A pie fácil / Coche;entre 20.000 y 100.000;"28°21'11.26850903""N";"16°22'10.57874428""W";Si;0078-762187000;28/09/2020;07/12/2023
